Region,Town,State,Business,Vertical,Need,Confidence,Website score,IT score,Evidence,Phone,Website,Address,Google Maps,Source,Status/Notes
NE Tennessee,Bristol,TN,Animal Medical Clinic,veterinary,Both,High,5,4,Website is down/unreachable (ERR_TLS_CERT_ALTNAME_INVALID),+1 423-764-2428,https://www.animalmedclinic.com,2012 W State Street,https://www.google.com/maps/search/?api=1&query=Animal%20Medical%20Clinic%20Bristol%20TN,OSM,
NE Tennessee,Elizabethton,TN,Lingerfelt Drug and Gift Center,healthcare,Both,Verify,4,5,No website listed (OSM) — verify with a quick Google/call; healthcare business with no web presence — likely no IT partner either; Business email is lingerfeltpharmacy@yahoo.com,+1-423-518-1140,,609 East Elk Avenue,https://www.google.com/maps/search/?api=1&query=Lingerfelt%20Drug%20and%20Gift%20Center%20Elizabethton%20TN,OSM,
NE Tennessee,Elizabethton,TN,Carter County Bank,finance,Both,High,5,4,Website is down/unreachable,+1-423-543-2131,https://www.cartercountybank.com/,601 East Elk Avenue,https://www.google.com/maps/search/?api=1&query=Carter%20County%20Bank%20Elizabethton%20TN,OSM,
NE Tennessee,Elizabethton,TN,Hearth and Home Realty,realestate,Both,High,5,4,Website is down/unreachable,+1-423-543-2307,http://www.hearthnhomerealty.net,3981 Veterans Memorial Parkway,https://www.google.com/maps/search/?api=1&query=Hearth%20and%20Home%20Realty%20Elizabethton%20TN,OSM,
NE Tennessee,Elizabethton,TN,Family EyeCare Center,healthcare,Both,High,5,4,Website is down/unreachable (23),+1-423-543-7376,https://www.elizabethtoneyecare.com/,629 Broad Street,https://www.google.com/maps/search/?api=1&query=Family%20EyeCare%20Center%20Elizabethton%20TN,OSM,
NE Tennessee,Elizabethton,TN,Wheeler Chiropractic,healthcare,Both,Verify,4,5,No website listed (OSM) — verify with a quick Google/call; healthcare business with no web presence — likely no IT partner either; Business email is wheelerchiropracticdc@gmail.com,+1-423-542-4103,,835 Broad Street,https://www.google.com/maps/search/?api=1&query=Wheeler%20Chiropractic%20Elizabethton%20TN,OSM,
NE Tennessee,Greeneville,TN,Warner Realty Company,realestate,Both,High,5,4,Website is down/unreachable,+1-423-639-7653,https://warnerrealtyco.com,522 Justis Dr,https://www.google.com/maps/search/?api=1&query=Warner%20Realty%20Company%20Greeneville%20TN,OSM,
NE Tennessee,Greeneville,TN,Trinity Heart & Vascular Group,healthcare,Both,High,5,4,Website is down/unreachable,+1-423-588-5660,https://trinityheartandvasculargroup.com/,1231 Tusculum Boulevard,https://www.google.com/maps/search/?api=1&query=Trinity%20Heart%20%26%20Vascular%20Group%20Greeneville%20TN,OSM,
NE Tennessee,Greeneville,TN,Andrew Johnson Bank,finance,Both,High,5,4,Website is down/unreachable,+1-423-636-3560,https://www.andrewjohnsonbank.com/,1102 West Main Street,https://www.google.com/maps/search/?api=1&query=Andrew%20Johnson%20Bank%20Greeneville%20TN,OSM,
Upstate/N SC,Greenville,SC,EmergencyMD,healthcare,Both,High,5,4,Website is down/unreachable,+1 864-305-5000,https://emergencymdsc.com/,2498 North Pleasantburg Drive,https://www.google.com/maps/search/?api=1&query=EmergencyMD%20Greenville%20SC,OSM,
Upstate/N SC,Greenville,SC,"SureQuote, LLC",finance,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-864-414-8302,https://sure-quote.com/,905 East Washington Street,https://www.google.com/maps/search/?api=1&query=SureQuote%2C%20LLC%20Greenville%20SC,OSM,
Upstate/N SC,Greer,SC,Allen Tate Realtors,realestate,Both,High,5,4,Website is down/unreachable,+1 8644163900,https://www.allentate.com/,,https://www.google.com/maps/search/?api=1&query=Allen%20Tate%20Realtors%20Greer%20SC,OSM,
Upstate/N SC,Greenville,SC,Search Greenville,realestate,Both,High,5,4,Website is down/unreachable,+1-864-430-0040,https://searchgreenville.com/,3705 White Horse Road,https://www.google.com/maps/search/?api=1&query=Search%20Greenville%20Greenville%20SC,OSM,
Upstate/N SC,Greenville,SC,Greenville VA Outpatient Clinic,healthcare,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1 864 299 1600,https://www.columbiasc.va.gov/locations/greenville.asp,41 Park Creek Drive,https://www.google.com/maps/search/?api=1&query=Greenville%20VA%20Outpatient%20Clinic%20Greenville%20SC,OSM,
Upstate/N SC,Greer,SC,"Hisker Law Firm, PC",legal,Both,High,5,4,Website is down/unreachable,+1-864-610-1277,https://www.hiskerlaw.com/,,https://www.google.com/maps/search/?api=1&query=Hisker%20Law%20Firm%2C%20PC%20Greer%20SC,OSM,
Upstate/N SC,Greer,SC,Pelham Vision Center,healthcare,Both,High,5,4,Website is down/unreachable,+1-864-627-0634,https://www.pelhamvisioncenter.com/,317 The Parkway,https://www.google.com/maps/search/?api=1&query=Pelham%20Vision%20Center%20Greer%20SC,OSM,
Upstate/N SC,Greer,SC,King Law,legal,Both,High,5,4,Website is down/unreachable,+1-804-416-2444,https://kinglawoffices.com/office-locations/south-carolina/greer,1320 W Poinsett St,https://www.google.com/maps/search/?api=1&query=King%20Law%20Greer%20SC,OSM,
Upstate/N SC,Greer,SC,CBL State Savings Bank,finance,Both,High,5,4,Website is down/unreachable,+1-864-877-2054,https://mycbl.bank/,229 Trade Street,https://www.google.com/maps/search/?api=1&query=CBL%20State%20Savings%20Bank%20Greer%20SC,OSM,
Upstate/N SC,Greer,SC,Founders Credit union,finance,Both,High,5,4,Website is down/unreachable,+1-800-762-8758,https://www.foundersfcu.com/,716 East Main Street,https://www.google.com/maps/search/?api=1&query=Founders%20Credit%20union%20Greer%20SC,OSM,
Upstate/N SC,Greer,SC,The Partners Real Estate Group,realestate,Both,High,5,4,Website is down/unreachable,+1-864-485-2100,https://www.shaunandsharigroup.com/,805 East Main Street,https://www.google.com/maps/search/?api=1&query=The%20Partners%20Real%20Estate%20Group%20Greer%20SC,OSM,
Upstate/N SC,Greer,SC,Spencer Tax Service Inc.,accounting,Both,High,4,5,No HTTPS (insecure site); GoDaddy site builder; WordPress 2.10 (outdated),+1-864-439-3852,https://www.spencertaxserviceinc.com/,904 East Main Street,https://www.google.com/maps/search/?api=1&query=Spencer%20Tax%20Service%20Inc.%20Greer%20SC,OSM,
Upstate/N SC,Greer,SC,Premier DOT Physicals,healthcare,Both,High,5,4,Website is down/unreachable,+1-864-336-5275,http://premierdotphysicalsllc.com/,801 East Main Street,https://www.google.com/maps/search/?api=1&query=Premier%20DOT%20Physicals%20Greer%20SC,OSM,
Upstate/N SC,Greer,SC,"Kinard-Barath Tax Group, LLC",accounting,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-864-439-0492,https://www.kinard-barath.com/home,812 East Main Street,https://www.google.com/maps/search/?api=1&query=Kinard-Barath%20Tax%20Group%2C%20LLC%20Greer%20SC,OSM,
Upstate/N SC,Greer,SC,Children's Medical Center,healthcare,Both,High,5,4,Website is down/unreachable,+1-864-877-1220,https://www.cmc-pa.com/greer,841 South Buncombe Road,https://www.google.com/maps/search/?api=1&query=Children's%20Medical%20Center%20Greer%20SC,OSM,
Upstate/N SC,Spartanburg,SC,"Whispering Wind Counseling, LLC",healthcare,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-864-585-4848,http://whisperingwindcounselingllc.com,101 Hilldale Drive,https://www.google.com/maps/search/?api=1&query=Whispering%20Wind%20Counseling%2C%20LLC%20Spartanburg%20SC,OSM,
Upstate/N SC,Spartanburg,SC,River Falls Chiropratic,healthcare,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-864-804-6530,http://chiroasso.com/,2156 East Main Street,https://www.google.com/maps/search/?api=1&query=River%20Falls%20Chiropratic%20Spartanburg%20SC,OSM,
Upstate/N SC,Spartanburg,SC,Brown Insurance,finance,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1 864-542-2267,https://www.browninsurancesc.com/,1002 South Pine Street,https://www.google.com/maps/search/?api=1&query=Brown%20Insurance%20Spartanburg%20SC,OSM,
Upstate/N SC,Spartanburg,SC,Pediatric Associates–Spartanburg,healthcare,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-864-582-8135,https://www.ghschildrens.org/pediatric-primary-care/pediatric-associates-spartanburg/,,https://www.google.com/maps/search/?api=1&query=Pediatric%20Associates%E2%80%93Spartanburg%20Spartanburg%20SC,OSM,
Upstate/N SC,Spartanburg,SC,King Law,legal,Both,High,5,4,Website is down/unreachable,+1-864-345-8529,https://kinglawoffices.com/office-locations/south-carolina/spartanburg,407 South Pine Street,https://www.google.com/maps/search/?api=1&query=King%20Law%20Spartanburg%20SC,OSM,
Upstate/N SC,Spartanburg,SC,Founders Federal Credit Union,finance,Both,High,5,4,Website is down/unreachable,+1 800 845 1614,https://www.foundersfcu.com/,1650 John B White Sr Boulevard,https://www.google.com/maps/search/?api=1&query=Founders%20Federal%20Credit%20Union%20Spartanburg%20SC,OSM,
Upstate/N SC,Spartanburg,SC,Hospice Care of South Carolina,healthcare,Both,High,5,4,Website is down/unreachable,+1-864-542-2100,https://www.hospicecare.net/,110 Dillon Drive,https://www.google.com/maps/search/?api=1&query=Hospice%20Care%20of%20South%20Carolina%20Spartanburg%20SC,OSM,
Upstate/N SC,Spartanburg,SC,Boiling Springs Dentistry,healthcare,Both,High,5,4,Website is down/unreachable,+1-864-578-0043,https://www.boilingspringsdentistry.com/,1396 Boiling Springs Road,https://www.google.com/maps/search/?api=1&query=Boiling%20Springs%20Dentistry%20Spartanburg%20SC,OSM,
Upstate/N SC,Spartanburg,SC,The Forrester Center for Behavioral Health,healthcare,Both,High,5,4,Website is down/unreachable,+1-864-582-7588,https://www.theforrestercenter.org/,129 Dillon Drive,https://www.google.com/maps/search/?api=1&query=The%20Forrester%20Center%20for%20Behavioral%20Health%20Spartanburg%20SC,OSM,
Upstate/N SC,Anderson,SC,Walker Animal Hospital,veterinary,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-864-622-1117,https://walkeranimal.com/,3810 North Highway 81,https://www.google.com/maps/search/?api=1&query=Walker%20Animal%20Hospital%20Anderson%20SC,OSM,
Upstate/N SC,Anderson,SC,Patrick B. Harris Psychiatric Hospital,healthcare,Both,High,5,4,Website is down/unreachable (EAI_AGAIN),+1 864 231 2600,http://www.patrickbharris.com/,130 Highway 252,https://www.google.com/maps/search/?api=1&query=Patrick%20B.%20Harris%20Psychiatric%20Hospital%20Anderson%20SC,OSM,
Upstate/N SC,Easley,SC,Liberty Family Care,healthcare,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1 864 843 5605,https://baptisteasley.org/physician-practices/liberty-family-care/,300 West Front Street,https://www.google.com/maps/search/?api=1&query=Liberty%20Family%20Care%20Easley%20SC,OSM,
Upstate/N SC,Easley,SC,AnMed Health Cannon,healthcare,Both,High,5,4,Website is down/unreachable (UND_ERR_CONNECT_TIMEOUT),+1 864 878 4791,https://www.anmedhealthcannon.org/,123 W G Acker Drive,https://www.google.com/maps/search/?api=1&query=AnMed%20Health%20Cannon%20Easley%20SC,OSM,
Upstate/N SC,Seneca/Clemson,SC,New York Life Insurance Company,finance,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-864-885-1492,http://geneadkins.com,135 Eagles Nest Drive,https://www.google.com/maps/search/?api=1&query=New%20York%20Life%20Insurance%20Company%20Seneca%2FClemson%20SC,OSM,
Upstate/N SC,Seneca/Clemson,SC,Leslie & Associates,finance,Both,High,5,4,Website is down/unreachable,+1-864-654-8498,https://leslieandassociates.net,10873 Clemson Boulevard,https://www.google.com/maps/search/?api=1&query=Leslie%20%26%20Associates%20Seneca%2FClemson%20SC,OSM,
Upstate/N SC,Rock Hill,SC,"The Burris Legal Group, P.A.",legal,Both,High,5,4,Website is down/unreachable (Bad URL),+1-803-980-0100,https://www.the urrislegalgroup.com,204 Johnston Street,https://www.google.com/maps/search/?api=1&query=The%20Burris%20Legal%20Group%2C%20P.A.%20Rock%20Hill%20SC,OSM,
Upstate/N SC,Rock Hill,SC,Piedmont Medical Center,healthcare,Both,High,5,4,Website is down/unreachable,+1 803 329 1234,https://www.piedmontmedicalcenter.com/,222 South Herlong Avenue,https://www.google.com/maps/search/?api=1&query=Piedmont%20Medical%20Center%20Rock%20Hill%20SC,OSM,
Upstate/N SC,Rock Hill,SC,Piedmont Medical Center – Fort Mill,healthcare,Both,High,5,4,Website is down/unreachable,+1-803-802-3662,https://www.piedmontmedicalnetwork.com/locations/detail/piedmont-medical-center-fort-mill,1000 Wellness Way,https://www.google.com/maps/search/?api=1&query=Piedmont%20Medical%20Center%20%E2%80%93%20Fort%20Mill%20Rock%20Hill%20SC,OSM,
SE Kentucky,Prestonsburg,KY,Martin City Outpatient Complex,healthcare,Both,High,5,4,Website is down/unreachable (UND_ERR_CONNECT_TIMEOUT),+1-606-285-3142,https://www.mtcomp.org/facility/martin-city-complex,11206 Main Street,https://www.google.com/maps/search/?api=1&query=Martin%20City%20Outpatient%20Complex%20Prestonsburg%20KY,OSM,
SE Kentucky,Hazard,KY,John R Hansen Attorney At Law,legal,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-606-439-6054,https://johnrhansenattorneyatlaw.com,492 Main Street,https://www.google.com/maps/search/?api=1&query=John%20R%20Hansen%20Attorney%20At%20Law%20Hazard%20KY,OSM,
SE Kentucky,Middlesboro,KY,Michael A. Taylor Law Office,legal,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-606-248-8855,http://michaelataylorlaw.com,139 West Chester Avenue,https://www.google.com/maps/search/?api=1&query=Michael%20A.%20Taylor%20Law%20Office%20Middlesboro%20KY,OSM,
SE Kentucky,Corbin,KY,Creech & Gibbs Pharmacy,healthcare,Both,High,5,4,Website is down/unreachable (EAI_AGAIN),+1-606-523-1911,https://creechngibbs.com,13369 North US Highway 25 East,https://www.google.com/maps/search/?api=1&query=Creech%20%26%20Gibbs%20Pharmacy%20Corbin%20KY,OSM,
SE Kentucky,London,KY,Jill Osborne Edwards Attorney at Law,legal,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1 606-878-7228,https://www.jillosborneedwardsattorney.com/,409 South Main Street,https://www.google.com/maps/search/?api=1&query=Jill%20Osborne%20Edwards%20Attorney%20at%20Law%20London%20KY,OSM,
Southern WV,Hinton,WV,J. L. Massie Insurance Inc.,finance,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-800-559-9898,https://www.massieinsuranceinc.com/,217 Temple Street,https://www.google.com/maps/search/?api=1&query=J.%20L.%20Massie%20Insurance%20Inc.%20Hinton%20WV,OSM,
SW Virginia,Wytheville,VA,The Complete Tax Service,accounting,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-276-625-0770,https://www.thecompletetaxservice.com/,460 West Monroe Street,https://www.google.com/maps/search/?api=1&query=The%20Complete%20Tax%20Service%20Wytheville%20VA,OSM,
SW Virginia,Wytheville,VA,Wilson Dental,healthcare,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-276-228-8571,https://www.wilsondentalpc.com/,195 East Spring Street,https://www.google.com/maps/search/?api=1&query=Wilson%20Dental%20Wytheville%20VA,OSM,
SW Virginia,Wytheville,VA,Counts Drug Co,healthcare,Both,High,5,4,Website is down/unreachable (UND_ERR_CONNECT_TIMEOUT),+1-276-228-2178,http://sites.cornerdrugstore.com/store/consumerHome.aspx?CorpID=&StoreID=0x002000000000030D,289 West Main Street,https://www.google.com/maps/search/?api=1&query=Counts%20Drug%20Co%20Wytheville%20VA,OSM,
SW Virginia,Galax,VA,Galax Dermatology,healthcare,Both,High,5,4,Website is down/unreachable,+1-276-238-9902,https://www.skinsurgerycenter.net/locations/galax/,974 East Stuart Drive,https://www.google.com/maps/search/?api=1&query=Galax%20Dermatology%20Galax%20VA,OSM,
SW Virginia,Norton/Wise,VA,Lonesome Pine Economy Drug,healthcare,Both,High,5,4,Website is down/unreachable (UNABLE_TO_GET_ISSUER_CERT_LOCALLY),+1-276-679-5191,https://www.lonesomepinerx.com/,517 Park Avenue Northwest,https://www.google.com/maps/search/?api=1&query=Lonesome%20Pine%20Economy%20Drug%20Norton%2FWise%20VA,OSM,
SW Virginia,Lebanon,VA,"McCoy Insurance Services, Inc.",finance,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+12768892300,http://mccoyinsservices.com,547 West Main Street,https://www.google.com/maps/search/?api=1&query=McCoy%20Insurance%20Services%2C%20Inc.%20Lebanon%20VA,OSM,
SW Virginia,Richlands,VA,South Guard Advisors,finance,Both,High,5,4,Website is down/unreachable,+1-276-963-6277,https://www.southguardadvisors.com/,2997 Steelsburg Highway,https://www.google.com/maps/search/?api=1&query=South%20Guard%20Advisors%20Richlands%20VA,OSM,
SW Virginia,Richlands,VA,Richlands Family Dentistry,healthcare,Both,High,5,4,Website is down/unreachable,+1-276-964-7418,https://www.richlandsfamilydentistry.com/,107 Tazewell Avenue,https://www.google.com/maps/search/?api=1&query=Richlands%20Family%20Dentistry%20Richlands%20VA,OSM,
SW Virginia,Blacksburg,VA,Compass,healthcare,Both,High,5,4,Website is down/unreachable,+1-540-348-4808,https://compassva.com/location/new-river-valley/,1080 South Main Street,https://www.google.com/maps/search/?api=1&query=Compass%20Blacksburg%20VA,OSM,
SW Virginia,Blacksburg,VA,Real Life Dental,healthcare,Both,High,5,4,Website is down/unreachable,+1-540-552-5433,https://www.reallifedentalcare.com/,250 South Main Street,https://www.google.com/maps/search/?api=1&query=Real%20Life%20Dental%20Blacksburg%20VA,OSM,
SW Virginia,Blacksburg,VA,Eyes on Main,healthcare,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-540-953-0136,https://www.eyeson620main.com/,620 North Main Street,https://www.google.com/maps/search/?api=1&query=Eyes%20on%20Main%20Blacksburg%20VA,OSM,
SW Virginia,Blacksburg,VA,New River Periodontics,healthcare,Both,High,5,4,Website is down/unreachable,+1-540-951-4848,https://nrvperio.com/,2612 Sheffield Drive,https://www.google.com/maps/search/?api=1&query=New%20River%20Periodontics%20Blacksburg%20VA,OSM,
SW Virginia,Blacksburg,VA,LewisGale Hospital Montgomery,healthcare,Both,High,5,4,Website is down/unreachable,+1 540 951 1111,https://www.hcavirginia.com/locations/lewisgale-hospital-montgomery,3700 South Main Street,https://www.google.com/maps/search/?api=1&query=LewisGale%20Hospital%20Montgomery%20Blacksburg%20VA,OSM,
SW Virginia,Radford,VA,New River Valley Endodontics,healthcare,Both,High,5,4,Website is down/unreachable,+1-540-443-9220,https://www.nrvendo.com/,140 East Main Street,https://www.google.com/maps/search/?api=1&query=New%20River%20Valley%20Endodontics%20Radford%20VA,OSM,
SW Virginia,Christiansburg,VA,Real Life Dental,healthcare,Both,High,5,4,Website is down/unreachable,+1-540-418-6050,https://www.reallifedentalcare.com/,100 Quin W. Stuart Boulevard Northwest,https://www.google.com/maps/search/?api=1&query=Real%20Life%20Dental%20Christiansburg%20VA,OSM,
SW Virginia,Blacksburg,VA,The Creekmore Law Firm,legal,Both,High,5,4,Website is down/unreachable,+1-540-443-9350,https://creekmorelaw.com/,320 North Main Street,https://www.google.com/maps/search/?api=1&query=The%20Creekmore%20Law%20Firm%20Blacksburg%20VA,OSM,
SW Virginia,Pulaski,VA,LewisGale Hospital Pulaski,healthcare,Both,High,5,4,Website is down/unreachable,+1 540 994 8509,https://lewisgale.com/location/lewisgale-hospital-pulaski,2400 Lee Highway,https://www.google.com/maps/search/?api=1&query=LewisGale%20Hospital%20Pulaski%20Pulaski%20VA,OSM,
SW Virginia,Roanoke,VA,Structures Design/Build,engineering,Both,High,5,4,SSL certificate broken/expired; Copyright stuck at 2014,+1-540-774-4800,http://www.structuresdb.com/,3904 Franklin Road,https://www.google.com/maps/search/?api=1&query=Structures%20Design%2FBuild%20Roanoke%20VA,OSM,
SW Virginia,Roanoke,VA,"Joel B. Miller, PLC, Attorney At Law",legal,Both,High,4,5,SSL certificate broken/expired; Uses free email for business (joelmillerlaw@yahoo.com),+1-540-992-1245,http://joelbmillerlaw.com,40 British Woods Drive,https://www.google.com/maps/search/?api=1&query=Joel%20B.%20Miller%2C%20PLC%2C%20Attorney%20At%20Law%20Roanoke%20VA,OSM,
SW Virginia,Roanoke,VA,LewisGale Medical Center,healthcare,Both,High,5,4,Website is down/unreachable,+1 540 776 4000,https://www.hcavirginia.com/locations/lewisgale-medical-center,1900 Electric Road,https://www.google.com/maps/search/?api=1&query=LewisGale%20Medical%20Center%20Roanoke%20VA,OSM,
SW Virginia,Roanoke,VA,New Horizons Healthcare,healthcare,Both,High,5,4,Website is down/unreachable,+1 540 362 0360,https://newhorizonshealthcare.org/,3716 Melrose Avenue Northwest,https://www.google.com/maps/search/?api=1&query=New%20Horizons%20Healthcare%20Roanoke%20VA,OSM,
SW Virginia,Roanoke,VA,Salem Veterans Affairs Medical Center,healthcare,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1 540 982 2463,https://www.salem.va.gov/,1970 Roanoke Boulevard,https://www.google.com/maps/search/?api=1&query=Salem%20Veterans%20Affairs%20Medical%20Center%20Roanoke%20VA,OSM,
SW Virginia,Roanoke,VA,Planned Parenthood,healthcare,Both,High,5,4,Website is down/unreachable,+1-540-562-3457,https://www.plannedparenthood.org/health-center/virginia/roanoke/24017/roanoke-health-center-2768-90860,2207 Peters Creek Road Northwest,https://www.google.com/maps/search/?api=1&query=Planned%20Parenthood%20Roanoke%20VA,OSM,
Western NC,Asheville,NC,CarePartners Rehabilitation Hospital,healthcare,Both,High,5,4,Website is down/unreachable,+1 828 274 6151,https://www.missionhealth.org/locations/carepartners/specialties/inpatient-physical-rehabilitation,68 Sweeten Creek Road,https://www.google.com/maps/search/?api=1&query=CarePartners%20Rehabilitation%20Hospital%20Asheville%20NC,OSM,
Western NC,Asheville,NC,Roger T. Smith Attorney At Law,legal,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-828-254-4658,http://rogertsmithatty.com,70 N Market St,https://www.google.com/maps/search/?api=1&query=Roger%20T.%20Smith%20Attorney%20At%20Law%20Asheville%20NC,OSM,
Western NC,Asheville,NC,Lanford Insurance & Financial Services,finance,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-828-484-7401,http://lanfordinsurance.com,303 Stoneridge Boulevard,https://www.google.com/maps/search/?api=1&query=Lanford%20Insurance%20%26%20Financial%20Services%20Asheville%20NC,OSM,
Western NC,Asheville,NC,Hope Women's Cancer Center,healthcare,Both,High,5,4,Website is down/unreachable,+1-828-670-8403,https://www.hopewcc.com/home/,100 Ridgefield Boulevard,https://www.google.com/maps/search/?api=1&query=Hope%20Women's%20Cancer%20Center%20Asheville%20NC,OSM,
Western NC,Asheville,NC,MotherWise Counseling,healthcare,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-828-374-0668,https://www.motherwisecounseling.com/,30 Reynolds Rd,https://www.google.com/maps/search/?api=1&query=MotherWise%20Counseling%20Asheville%20NC,OSM,
Western NC,Asheville,NC,Planned Parenthood - Asheville Health Center,healthcare,Both,High,5,4,Website is down/unreachable,+1-828-252-7928,https://www.plannedparenthood.org/health-center/north-carolina/asheville/28801/asheville-health-center-4134-90860,68 McDowell Street,https://www.google.com/maps/search/?api=1&query=Planned%20Parenthood%20-%20Asheville%20Health%20Center%20Asheville%20NC,OSM,
Western NC,Asheville,NC,Mission Hospital,healthcare,Both,High,5,4,Website is down/unreachable,+1 828 213 1111,https://missionhealth.org/member-hospitals/mission/,509 Biltmore Avenue,https://www.google.com/maps/search/?api=1&query=Mission%20Hospital%20Asheville%20NC,OSM,
Western NC,Asheville,NC,Back in Balance,healthcare,Both,High,5,4,Website is down/unreachable,+1-828-274-9799,https://backinbalancewnc.com/,1089 Hendersonville Road,https://www.google.com/maps/search/?api=1&query=Back%20in%20Balance%20Asheville%20NC,OSM,
Western NC,Hendersonville,NC,Forest Commercial Bank,finance,Both,High,5,4,Website is down/unreachable (ENOTFOUND),+1-828-233-0900,https://www.forestcommercialbank.com/,,https://www.google.com/maps/search/?api=1&query=Forest%20Commercial%20Bank%20Hendersonville%20NC,OSM,
Western NC,Hendersonville,NC,Howard Tax Service,accounting,Both,High,5,4,Website is down/unreachable (UNABLE_TO_GET_ISSUER_CERT_LOCALLY),+1 828-692-1271,https://howardtaxservice.com,129 4 Seasons Blvd,https://www.google.com/maps/search/?api=1&query=Howard%20Tax%20Service%20Hendersonville%20NC,OSM,
